13:39:12.131411 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:12.131599 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:12.214200 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:12.214391 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:12.297288 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:12.297542 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:12.380261 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:12.380480 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:12.463075 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:12.463318 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
